player_id,birth_year,birth_month,birth_day,birth_country,birth_state,birth_city,death_year,death_month,death_day,death_country,death_state,death_city,name_first,name_last,name_given,weight,height,bats,throws,debut,final_game,retro_id,bbref_id,inducted,allstar,game,ab,run,hit,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,ba,w,l,gpitch,gs,cg,sho,sv,ipouts,hallow,er,hrallow,bballow,sopitch,wp,batterhit,bk,bfp,gf,rallow,timein
aaronha01,1934,2,5,USA,AL,Mobile,NA,NA,NA,NA,NA,NA,Hank,Aaron,Henry Louis,180,72,R,R,1954-04-13,1976-10-03,aaroh101,aaronha01,Y,25,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,0.30499838240051763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
aasedo01,1954,9,8,USA,CA,Orange,NA,NA,NA,NA,NA,NA,Don,Aase,Donald William,190,75,R,R,1977-07-26,1990-10-03,aased001,aasedo01,N,1,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,66,60,448,91,22,5,82,3328,1085,468,89,457,641,21,7,3,4730,234,503,13
abbated01,1877,4,15,USA,PA,Latrobe,1957,1,6,USA,FL,Fort Lauderdale,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,1910-09-15,abbae101,abbated01,N,0,855,3044,355,772,99,43,11,324,142,0,289,16,0,33,93,0.2536136662286465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
abbotgl01,1951,2,16,USA,AR,Little Rock,NA,NA,NA,NA,NA,NA,Glenn,Abbott,William Glenn,200,78,R,R,1973-07-29,1984-08-08,abbog001,abbotgl01,N,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,62,83,248,206,37,5,0,3858,1405,627,162,352,484,18,32,5,5509,13,707,11
abbotpa01,1967,9,15,USA,CA,Van Nuys,NA,NA,NA,NA,NA,NA,Paul,Abbott,Paul David,185,75,R,R,1990-08-21,2004-08-07,abbop001,abbotpa01,N,0,162,20,2,5,1,0,0,2,0,0,0,6,0,0,5,0.25,43,37,162,112,1,0,0,2162,682,394,101,393,496,37,21,0,3187,17,421,13
abernte02,1933,3,6,USA,NC,Stanley,2004,12,16,USA,NC,Gastonia,Ted,Abernathy,Theodore Wade,215,76,R,R,1955-04-13,1972-09-30,abert101,abernte02,N,0,681,181,12,25,3,0,0,9,0,0,6,74,0,2,15,0.13812154696132597,63,69,681,34,7,2,148,3443,1010,441,70,592,765,35,45,3,4963,416,513,17
adairje01,1936,12,17,USA,OK,Sand Springs,1987,5,31,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175,72,R,R,1958-09-02,1970-05-03,adaij101,adairje01,N,0,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,0.25429211246578753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
adamsba01,1882,5,18,USA,IN,Tipton,1968,7,27,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185,71,L,R,1906-04-18,1926-08-11,adamb104,adamsba01,N,0,482,1019,79,216,31,15,3,75,1,1,53,177,0,1,35,0.21197252208047104,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,26,47,2,11947,89,1129,20
adamsbo03,1921,12,14,USA,CA,Tuolumne,1997,2,13,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160,70,R,R,1946-04-16,1959-04-22,adamb103,adamsbo03,N,0,1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,0.2692211993033093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
adamssp01,1894,8,26,USA,PA,Zerbe,1989,2,24,USA,PA,Pottsville,Sparky,Adams,Earl John,151,65,R,R,1922-09-18,1934-09-30,adams101,adamssp01,N,0,1424,5557,844,1588,249,48,9,394,154,50,453,223,0,28,136,0.2857657009177614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
adcocjo01,1927,10,30,USA,LA,Coushatta,1999,5,3,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210,76,R,R,1950-04-23,1966-10-01,adcoj101,adcocjo01,N,2,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,55,17,52,0.2773236451710566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
ageeto01,1942,8,9,USA,AL,Magnolia,2001,1,22,USA,NY,New York,Tommie,Agee,Tommie Lee,195,71,R,R,1962-09-14,1973-09-30,ageet101,ageeto01,N,2,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,0.2553680981595092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
agostju01,1958,2,23,P.R.,NA,Rio Piedras,NA,NA,NA,NA,NA,NA,Juan,Agosto,Juan Roberto,190,74,L,L,1981-09-07,1993-06-19,agosj001,agostju01,N,0,543,20,0,2,0,0,0,0,0,0,1,7,0,0,1,0.1,40,33,543,2,0,0,29,1879,639,279,30,248,307,21,30,7,2713,198,313,11
aguilri01,1961,12,31,USA,CA,San Gabriel,NA,NA,NA,NA,NA,NA,Rick,Aguilera,Richard Warren,195,76,R,R,1985-06-12,2000-09-06,aguir001,aguilri01,N,3,737,139,12,28,3,0,3,11,0,0,6,37,0,0,16,0.2014388489208633,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,53,36,10,5391,557,568,15
aguirha01,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,Henry John,205,76,R,L,1955-09-10,1970-06-24,aguih101,aguirha01,N,2,447,388,14,33,7,1,0,21,1,0,14,236,0,0,24,0.08505154639175258,75,72,447,149,44,9,33,4127,1216,496,123,479,856,35,47,9,5790,124,562,14
ainsmed01,1890,2,4,Russia,NA,NA,1981,9,6,USA,FL,Fort Lauderdale,Eddie,Ainsmith,Edward Wilbur,180,71,R,R,1910-08-09,1924-07-21,ainse101,ainsmed01,N,0,1078,3048,299,707,108,54,22,317,86,16,263,315,0,12,99,0.23195538057742782,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,3,0,2,13
aldrivi01,1893,10,25,USA,IN,Crane,1973,4,17,USA,IN,Terre Haute,Vic,Aldridge,Victor,175,69,R,R,1917-04-15,1928-08-29,aldrv101,aldrivi01,N,0,248,581,46,133,14,4,2,60,2,0,10,41,0,0,32,0.2289156626506024,97,80,248,205,102,8,6,4802,1671,668,87,512,526,24,39,0,6852,28,785,11
alexado01,1950,9,4,USA,AL,Cordova,NA,NA,NA,NA,NA,NA,Doyle,Alexander,Doyle Lafayette,190,75,R,R,1971-06-26,1989-09-27,alexd001,alexado01,N,1,562,265,19,44,8,0,0,17,0,0,9,77,0,1,23,0.1660377358490566,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,74,53,10,14162,56,1541,18
alexama02,1971,3,20,D.R.,San Pedro de Macoris,San Pedro de Macoris,NA,NA,NA,NA,NA,NA,Manny,Alexander,Manuel de Jesus,150,70,R,R,1992-09-18,2006-09-28,alexm001,alexama02,N,0,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,0.23052714398111723,0,0,1,0,0,0,0,2,1,5,1,4,0,0,0,0,7,1,5,14
alexape01,1887,2,26,USA,NE,Elba,1950,11,4,USA,NE,St. Paul,Pete,Alexander,Grover Cleveland,185,73,R,R,1911-04-15,1930-05-28,alexg102,alexape01,Y,0,703,1810,154,378,60,13,11,163,3,5,77,276,0,2,88,0.20883977900552486,373,208,696,599,437,90,32,15570,4868,1476,164,951,2198,39,70,1,20928,80,1851,19
alfoned01,1973,11,8,Venezuela,Miranda,Santa Teresa del Tuy,NA,NA,NA,NA,NA,NA,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R,1995-04-26,2006-06-11,alfoe001,alfoned01,N,1,1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,0.28449396471680594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
alicelu01,1965,7,29,P.R.,NA,Santurce,NA,NA,NA,NA,NA,NA,Luis,Alicea,Luis Rene,165,69,B,R,1988-04-23,2002-09-25,alicl001,alicelu01,N,0,1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,0.25963233442457817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
allenbe01,1939,4,16,USA,OH,East Liverpool,NA,NA,NA,NA,NA,NA,Bernie,Allen,Bernard Keith,175,72,L,R,1962-04-10,1973-09-19,alleb105,allenbe01,N,0,1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,0.23942420681551116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
allendi01,1942,3,8,USA,PA,Wampum,NA,NA,NA,NA,NA,NA,Dick,Allen,Richard Anthony,187,71,R,R,1963-09-03,1977-06-19,alled101,allendi01,N,7,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,0.29185091598231205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
allenet01,1904,1,1,USA,OH,Cincinnati,1993,9,15,USA,CA,Crescent City,Ethan,Allen,Ethan Nathan,180,73,R,R,1926-06-13,1938-06-18,allee101,allenet01,N,0,1281,4418,623,1325,255,45,47,501,84,4,223,310,0,14,110,0.29990946129470347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
allenjo02,1904,9,30,USA,NC,Lenoir,1959,5,29,USA,FL,St. Petersburg,Johnny,Allen,John Thomas,180,72,R,R,1932-04-19,1944-09-26,allej102,allenjo02,N,1,365,716,82,124,12,3,4,64,1,0,33,155,0,0,36,0.17318435754189945,142,75,352,241,109,17,18,5851,1849,813,104,738,1070,68,38,5,8292,68,924,12
allisbo01,1934,7,11,USA,MO,Raytown,1995,4,9,USA,AZ,Rio Verde,Bob,Allison,William Robert,205,75,R,R,1958-09-16,1970-09-29,allib103,allisbo01,N,3,1541,5032,811,1281,216,53,256,796,84,50,795,1033,30,34,25,0.25457074721780604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
allisdo01,1846,7,12,USA,PA,Philadelphia,1916,12,19,USA,DC,Washington,Doug,Allison,Douglas L.,160,70,R,R,1871-05-05,1883-07-13,allid101,allisdo01,N,0,318,1407,236,381,43,10,2,140,5,2,22,40,0,0,0,0.27078891257995735,0,0,1,0,0,0,0,15,11,1,0,1,0,0,0,0,26,1,5,12
almonbi01,1952,11,21,USA,RI,Providence,NA,NA,NA,NA,NA,NA,Bill,Almon,William Francis,180,75,R,R,1974-09-02,1988-06-14,almob001,almonbi01,N,0,1236,3330,390,846,138,25,36,296,128,60,250,636,24,6,44,0.25405405405405407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
alomaro01,1968,2,5,P.R.,NA,Ponce,NA,NA,NA,NA,NA,NA,Roberto,Alomar,Roberto,184,72,B,R,1988-04-22,2004-09-05,alomr001,alomaro01,Y,12,2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,0.30023145596825745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
alomasa01,1943,10,19,P.R.,NA,Salinas,NA,NA,NA,NA,NA,NA,Sandy,Alomar,Santos,140,69,B,R,1964-09-15,1978-09-30,aloms101,alomasa01,N,1,1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,0.2453781512605042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
alomasa02,1966,6,18,P.R.,NA,Salinas,NA,NA,NA,NA,NA,NA,Sandy,Alomar,Santos,200,77,R,R,1988-09-30,2007-09-30,aloms001,alomasa02,N,6,1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,0.2728476821192053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
aloufe01,1935,5,12,D.R.,San Cristobal,Bajos de Haina,NA,NA,NA,NA,NA,NA,Felipe,Alou,Felipe Rojas,195,72,R,R,1958-06-08,1974-04-24,alouf101,aloufe01,N,3,2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,0.2862787845755553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
alouje01,1942,3,24,D.R.,San Cristobal,Bajos de Haina,NA,NA,NA,NA,NA,NA,Jesus,Alou,Jesus Maria Rojas,190,74,R,R,1963-09-10,1979-09-29,alouj101,alouje01,N,0,1380,4345,448,1216,170,26,32,377,31,46,138,267,32,30,44,0.2798619102416571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
alouma01,1938,12,22,D.R.,San Cristobal,Bajos de Haina,2011,11,3,D.R.,Distrito Nacional,Santo Domingo,Matty,Alou,Mateo Rojas,160,69,L,L,1960-09-26,1974-06-21,aloum101,alouma01,N,2,1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,0.30696147866643636,0,0,1,0,0,0,0,6,3,0,0,1,3,0,0,0,10,1,0,13
aloumo01,1966,7,3,USA,GA,Atlanta,NA,NA,NA,NA,NA,NA,Moises,Alou,Moises Rojas,185,75,R,R,1990-07-26,2008-06-10,aloum001,aloumo01,N,6,1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,0.30325422765382976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
altroni01,1876,9,15,USA,OH,Cincinnati,1965,1,20,USA,DC,Washington,Nick,Altrock,Nicholas,197,70,B,L,1898-07-14,1933-10-01,altrn101,altroni01,N,0,230,550,52,97,9,1,2,27,5,1,29,0,0,11,15,0.17636363636363636,83,75,218,161,128,16,7,4542,1455,445,17,272,425,31,22,1,3433,46,604,35
alvarwi01,1970,3,24,Venezuela,Zulia,Maracaibo,NA,NA,NA,NA,NA,NA,Wilson,Alvarez,Wilson Eduardo,175,73,L,L,1989-07-24,2005-09-28,alvaw001,alvarwi01,N,1,355,95,6,13,0,0,0,1,0,0,4,33,0,0,5,0.1368421052631579,102,92,355,263,12,5,4,5243,1624,769,190,805,1330,28,50,4,7518,18,857,16
